FileName,Count
C:/Users/Manav/our_dataset/train_data\1\001.json,30
C:/Users/Manav/our_dataset/train_data\1\002.json,30
C:/Users/Manav/our_dataset/train_data\1\003.json,30
C:/Users/Manav/our_dataset/train_data\1\004.json,30
C:/Users/Manav/our_dataset/train_data\1\005.json,30
C:/Users/Manav/our_dataset/train_data\1\006.json,30
C:/Users/Manav/our_dataset/train_data\1\007.json,29
C:/Users/Manav/our_dataset/train_data\1\008.json,29
C:/Users/Manav/our_dataset/train_data\1\009.json,29
C:/Users/Manav/our_dataset/train_data\1\010.json,30
C:/Users/Manav/our_dataset/train_data\1\011.json,30
C:/Users/Manav/our_dataset/train_data\1\012.json,30
C:/Users/Manav/our_dataset/train_data\1\013.json,30
C:/Users/Manav/our_dataset/train_data\1\014.json,29
C:/Users/Manav/our_dataset/train_data\1\015.json,29
C:/Users/Manav/our_dataset/train_data\1\016.json,29
C:/Users/Manav/our_dataset/train_data\1\017.json,29
C:/Users/Manav/our_dataset/train_data\1\018.json,29
C:/Users/Manav/our_dataset/train_data\1\019.json,29
C:/Users/Manav/our_dataset/train_data\1\020.json,28
C:/Users/Manav/our_dataset/train_data\1\021.json,27
C:/Users/Manav/our_dataset/train_data\1\022.json,27
C:/Users/Manav/our_dataset/train_data\1\023.json,27
C:/Users/Manav/our_dataset/train_data\1\024.json,27
C:/Users/Manav/our_dataset/train_data\1\025.json,27
C:/Users/Manav/our_dataset/train_data\1\026.json,28
C:/Users/Manav/our_dataset/train_data\1\027.json,28
C:/Users/Manav/our_dataset/train_data\1\028.json,28
C:/Users/Manav/our_dataset/train_data\1\029.json,27
C:/Users/Manav/our_dataset/train_data\1\030.json,27
C:/Users/Manav/our_dataset/train_data\1\031.json,27
C:/Users/Manav/our_dataset/train_data\1\032.json,27
C:/Users/Manav/our_dataset/train_data\1\033.json,28
C:/Users/Manav/our_dataset/train_data\1\034.json,28
C:/Users/Manav/our_dataset/train_data\1\035.json,28
C:/Users/Manav/our_dataset/train_data\1\036.json,28
C:/Users/Manav/our_dataset/train_data\1\037.json,28
C:/Users/Manav/our_dataset/train_data\1\038.json,28
C:/Users/Manav/our_dataset/train_data\1\039.json,28
C:/Users/Manav/our_dataset/train_data\1\040.json,28
C:/Users/Manav/our_dataset/train_data\1\041.json,28
C:/Users/Manav/our_dataset/train_data\1\042.json,28
C:/Users/Manav/our_dataset/train_data\1\043.json,28
C:/Users/Manav/our_dataset/train_data\1\044.json,28
C:/Users/Manav/our_dataset/train_data\1\045.json,27
C:/Users/Manav/our_dataset/train_data\1\046.json,27
C:/Users/Manav/our_dataset/train_data\1\047.json,27
C:/Users/Manav/our_dataset/train_data\1\048.json,27
C:/Users/Manav/our_dataset/train_data\1\049.json,28
C:/Users/Manav/our_dataset/train_data\1\050.json,28
C:/Users/Manav/our_dataset/train_data\1\051.json,28
C:/Users/Manav/our_dataset/train_data\1\052.json,28
C:/Users/Manav/our_dataset/train_data\1\053.json,28
C:/Users/Manav/our_dataset/train_data\1\054.json,28
C:/Users/Manav/our_dataset/train_data\1\055.json,28
C:/Users/Manav/our_dataset/train_data\1\056.json,28
C:/Users/Manav/our_dataset/train_data\1\057.json,28
C:/Users/Manav/our_dataset/train_data\1\058.json,28
C:/Users/Manav/our_dataset/train_data\1\059.json,28
C:/Users/Manav/our_dataset/train_data\1\060.json,28
C:/Users/Manav/our_dataset/train_data\1\061.json,28
C:/Users/Manav/our_dataset/train_data\1\062.json,28
C:/Users/Manav/our_dataset/train_data\1\063.json,28
C:/Users/Manav/our_dataset/train_data\1\064.json,28
C:/Users/Manav/our_dataset/train_data\1\065.json,27
C:/Users/Manav/our_dataset/train_data\1\066.json,27
C:/Users/Manav/our_dataset/train_data\1\067.json,27
C:/Users/Manav/our_dataset/train_data\1\068.json,27
C:/Users/Manav/our_dataset/train_data\1\069.json,27
C:/Users/Manav/our_dataset/train_data\1\070.json,27
C:/Users/Manav/our_dataset/train_data\1\071.json,27
C:/Users/Manav/our_dataset/train_data\1\072.json,27
C:/Users/Manav/our_dataset/train_data\1\073.json,27
C:/Users/Manav/our_dataset/train_data\1\074.json,27
C:/Users/Manav/our_dataset/train_data\1\075.json,27
C:/Users/Manav/our_dataset/train_data\1\076.json,27
C:/Users/Manav/our_dataset/train_data\1\077.json,27
C:/Users/Manav/our_dataset/train_data\1\078.json,27
C:/Users/Manav/our_dataset/train_data\1\079.json,27
C:/Users/Manav/our_dataset/train_data\1\080.json,27
C:/Users/Manav/our_dataset/train_data\1\081.json,27
C:/Users/Manav/our_dataset/train_data\1\082.json,27
C:/Users/Manav/our_dataset/train_data\1\083.json,27
C:/Users/Manav/our_dataset/train_data\1\084.json,27
C:/Users/Manav/our_dataset/train_data\1\085.json,27
C:/Users/Manav/our_dataset/train_data\1\086.json,27
C:/Users/Manav/our_dataset/train_data\1\087.json,27
C:/Users/Manav/our_dataset/train_data\1\088.json,27
C:/Users/Manav/our_dataset/train_data\1\089.json,27
C:/Users/Manav/our_dataset/train_data\1\090.json,27
C:/Users/Manav/our_dataset/train_data\1\091.json,27
C:/Users/Manav/our_dataset/train_data\1\092.json,27
C:/Users/Manav/our_dataset/train_data\1\093.json,27
C:/Users/Manav/our_dataset/train_data\1\094.json,27
C:/Users/Manav/our_dataset/train_data\1\095.json,27
C:/Users/Manav/our_dataset/train_data\1\096.json,27
C:/Users/Manav/our_dataset/train_data\1\097.json,27
C:/Users/Manav/our_dataset/train_data\1\098.json,27
C:/Users/Manav/our_dataset/train_data\1\099.json,27
C:/Users/Manav/our_dataset/train_data\1\100.json,27
C:/Users/Manav/our_dataset/train_data\1\101.json,27
C:/Users/Manav/our_dataset/train_data\1\102.json,27
C:/Users/Manav/our_dataset/train_data\1\103.json,27
C:/Users/Manav/our_dataset/train_data\1\104.json,27
C:/Users/Manav/our_dataset/train_data\1\105.json,27
C:/Users/Manav/our_dataset/train_data\1\106.json,27
C:/Users/Manav/our_dataset/train_data\1\107.json,27
C:/Users/Manav/our_dataset/train_data\1\108.json,27
C:/Users/Manav/our_dataset/train_data\1\109.json,27
C:/Users/Manav/our_dataset/train_data\1\110.json,27
C:/Users/Manav/our_dataset/train_data\1\111.json,27
C:/Users/Manav/our_dataset/train_data\1\112.json,27
C:/Users/Manav/our_dataset/train_data\1\113.json,27
C:/Users/Manav/our_dataset/train_data\1\114.json,27
C:/Users/Manav/our_dataset/train_data\1\115.json,27
C:/Users/Manav/our_dataset/train_data\1\116.json,27
C:/Users/Manav/our_dataset/train_data\1\117.json,27
C:/Users/Manav/our_dataset/train_data\1\118.json,27
C:/Users/Manav/our_dataset/train_data\1\119.json,26
C:/Users/Manav/our_dataset/train_data\1\120.json,26
C:/Users/Manav/our_dataset/train_data\1\121.json,25
C:/Users/Manav/our_dataset/train_data\1\122.json,26
C:/Users/Manav/our_dataset/train_data\1\123.json,26
C:/Users/Manav/our_dataset/train_data\1\124.json,26
C:/Users/Manav/our_dataset/train_data\1\125.json,25
C:/Users/Manav/our_dataset/train_data\1\126.json,25
